Mean Depth,Offset corected,ice age,gas age
2554.376,370.3136302,21827.99628,21314.1004
2555.377,361.8547546,21861.09223,21348.36188
2557.377,361.7488554,21927.30986,21417.25042
2558.373,360.1521964,21962.97944,21451.8545
2559.378,362.9991368,22000.39811,21486.20197
2560.377,368.0605733,22033.57661,21520.19829
2561.377,361.3066051,22069.52747,21555.04604
2562.379,362.6222971,22104.40108,21589.56843
2563.478,366.5932394,22141.5265,21628.11567
2564.946,359.8925896,22194.54587,21680.30239
2565.382,361.7436374,22209.76576,21695.62846
2566.382,362.1167297,22242.83126,21731.01915
2567.374,363.1785901,22278.27844,21766.92404
2568.336,361.7900264,22309.98697,21801.6832
2568.361,366.7548196,22310.7309,21802.55406
2569.485,359.3508875,22345.67872,21842.90786
2570.479,357.1804475,22378.86005,21877.62596
2571.384,361.5455702,22410.80189,21909.23765
2572.386,361.4067259,22445.0505,21943.87762
2574.383,363.2032554,22511.80425,22012.80772
2575.358,364.5166943,22545.00417,22046.76105
2575.383,359.2381118,22545.86437,22047.6725
2576.384,360.5797954,22580.11488,22082.3634
2577.386,359.6144352,22615.26574,22117.05994
2578.335,358.3956642,22647.43484,22149.85667
2579.386,367.6334097,22679.76311,22185.17759
2580.386,372.4371897,22714.18269,22220.00269
2581.387,364.824446,22748.24043,22254.65125
2582.387,368.893171,22780.92322,22289.40209
2584.362,369.8372735,22847.18805,22357.0208
2584.387,372.9700472,22847.95492,22357.80186
2584.387,368.6090051,22847.95492,22357.80186
2585.386,367.5957838,22883.82863,22393.02518
2586.364,370.2646522,22919.38434,22426.96108
2586.389,370.0902105,22920.24516,22427.80112
2587.438,377.8974267,22955.87218,22463.72928
2588.339,374.9884806,22985.72094,22495.09531
2588.364,380.3334648,22986.60746,22496.07842
2589.39,381.4041249,23018.21786,22530.63482
2590.366,373.2006892,23051.49286,22564.64814
2590.391,378.3541147,23052.30539,22565.50844
2591.392,373.5590274,23088.53585,22600.98695
2592.367,372.0013484,23123.01137,22634.25508
2592.392,371.9662659,23123.86753,22635.11894
2595.028,380.4400068,23215.53616,22726.94444
2595.053,400.8788987,23216.41922,22727.81585
2595.053,385.7538879,23216.41922,22727.81585
2595.368,377.3184162,23227.7121,22738.77639
2595.393,379.8900403,23228.61462,22739.64556
2596.368,388.202669,23264.49384,22774.31609
2596.393,388.6912868,23265.37412,22775.20179
2597.394,388.1997072,23299.24301,22810.10943
2597.394,383.8963593,23299.24301,22810.10943
2598.345,378.7720293,23332.78868,22844.14036
2600.355,386.433291,23403.12267,22916.63465
2602.356,385.4454571,23475.09531,22987.32043
2604.3,387.8981033,23546.19832,23056.75379
2606.677,389.3180553,23627.18085,23140.813
2606.677,390.6826868,23627.18085,23140.813
2608.358,395.4290357,23684.73657,23200.08451
2610.36,405.1269288,23751.19029,23270.82474
2612.363,387.7856817,23820.07108,23340.28386
2615.074,391.07791,23910.12569,23435.56205
2616.365,381.7422234,23953.36668,23480.24613
2618.366,396.4466755,24019.9237,23548.00138
2618.366,393.6411516,24019.9237,23548.00138
2620.366,397.2014352,24084.32357,23613.46838
2620.366,398.7572492,24084.32357,23613.46838
2622.578,392.9215833,24159.73056,23684.71329
2622.578,399.6279815,24159.73056,23684.71329
2622.578,393.0370786,24159.73056,23684.71329
2624.368,397.3177375,24219.75368,23742.92105
2626.369,401.6753093,24284.25673,23807.16158
2628.557,397.5425387,24351.9733,23876.63776
2628.557,393.8375233,24351.9733,23876.63776
2630.371,394.4597934,24408.21143,23934.37554
