Mean Depth ,CH4nNormalized,mean total air,ice age,gas age ,,Ca2+,CH4cNormalized,Top Depth ,Bottom Depth
1452.91,498.3276723,0.095889383,13254.01818,12517.32727,,56.16111111,496.5476391,1452.87,1452.95
1453.05,498.5477805,0.096398948,13260.63636,12524.45455,,49.87454545,496.9753567,1453.00,1453.10
1453.05,497.1108642,0.094393504,13260.63636,12524.45455,,49.87454545,495.5050335,1453,1453.1
1453.2,500.0011791,0.094543365,13266.81818,12532.81818,,53.76888889,498.2727048,1453.16,1453.24
1453.33,512.8939639,0.09169915,13271.78182,12540.38182,,41.20111111,511.5284172,1453.29,1453.37
1453.46,502.4786459,0.093821059,13276.74545,12547.94545,,39.68,501.1932579,1453.42,1453.5
1453.6,496.9003671,0.09594587,13282.09091,12556.09091,,30.58,495.931701,1453.55,1453.65
1453.75,489.4927176,0.095121594,13287.63636,12564.63636,,39.41,488.2335305,1453.71,1453.79
1453.88,497.704741,0.095085499,13292.36364,12571.96364,,39.57,496.4399618,1453.84,1453.92
1453.88,505.153034,0.097274467,13292.36364,12571.96364,,39.57,503.9167162,1453.84,1453.92
1454.01,498.3169362,0.093020397,13297.09091,12579.29091,,29.67,497.3475378,1453.97,1454.05
1454.15,495.8368481,0.093786118,13302.18182,12587.18182,,51.51,494.1676191,1454.1,1454.2
1454.3,494.0707286,0.093458269,13307.81818,12595.81818,,39.57,492.783928,1454.26,1454.34
1454.43,489.2765277,0.092583606,13312.78182,12603.38182,,43.04,487.8636613,1454.39,1454.47
1454.56,502.427793,0.095463116,13317.74545,12610.94545,,51.51,500.7878873,1454.52,1454.6
1454.7,507.7139451,0.089067287,13323.09091,12619.09091,,39.35818182,506.3709336,1454.65,1454.75
1454.85,496.830695,0.093497979,13329,12628,,42.12222222,495.4614789,1454.81,1454.89
1454.98,501.0883898,0.093016555,13334.2,12635.8,,38.93666667,499.8161721,1454.94,1455.02
1455.11,506.364199,0.09068542,13339.4,12643.6,,37.28,505.1147994,1455.07,1455.15
1455.25,508.9785396,0.094150515,13345,12652,,36.61454545,507.7966038,1455.2,1455.3
1455.4,511.8406039,0.093520611,13351.18182,12660.27273,,37.97666667,510.6064412,1455.36,1455.44
