Table S2.,,,
Dongge Cave stalagmite D4 Oxygen Isotope Data,,,
Years,delta,18O,(VPDB)
,8110.4,-8.65,
,8111.4,-9.02,
,8112.4,-8.96,
,8113.4,-8.96,
,8114.4,-8.87,
,8115.4,-8.86,
,8116.4,-8.7,
,8117.4,-9.13,
,8118.4,-8.98,
,8119.4,-9.02,
,8120.4,-8.93,
,8121.5,-8.76,
,8122.5,-8.65,
,8123.5,-8.97,
,8124.5,-8.85,
,8125.5,-9.08,
,8126.5,-8.94,
,8127.5,-8.8,
,8128.5,-8.91,
,8129.5,-8.97,
,8130.5,-9.16,
,8131.5,-9.13,
,8132.5,-9.2,
,8133.5,-9.04,
,8134.5,-8.96,
,8135.6,-9.26,
,8136.6,-9.04,
,8137.6,-8.98,
,8138.6,-8.87,
,8139.6,-9.11,
,8140.6,-9.39,
,8141.6,-9.27,
,8142.6,-9.32,
,8143.6,-9.06,
,8144.6,-9.26,
,8145.6,-9.21,
,8146.6,-9.36,
,8147.6,-9.41,
,8148.6,-9.24,
,8149.7,-8.94,
,8150.7,-8.93,
,8151.7,-8.9,
,8152.7,-8.89,
,8153.7,-8.93,
,8154.7,-8.83,
,8155.7,-8.96,
,8156.7,-8.98,
,8157.7,-9.02,
,8158.7,-8.77,
,8159.7,-8.95,
,8160.7,-9.35,
,8161.7,-9.42,
,8162.7,-9.4,
,8163.8,-9.19,
,8164.8,-9.03,
,8165.8,-9.31,
,8166.8,-9.01,
,8167.8,-9.14,
,8168.8,-8.81,
,8169.8,-9.33,
,8170.8,-9.18,
,8171.8,-8.8,
,8172.8,-9.33,
,8173.8,-8.69,
,8174.8,-8.55,
,8175.8,-8.7,
,8176.8,-8.95,
,8177.9,-8.83,
,8178.9,-8.98,
,8179.9,-9.4,
,8180.9,-8.94,
,8181.9,-8.8,
,8182.9,-8.85,
,8183.9,-9.02,
,8184.9,-8.92,
,8185.9,-9.29,
,8186.9,-8.96,
,8187.9,-8.97,
,8188.9,-8.85,
,8189.9,-8.91,
,8190.9,-8.84,
,8193,-9.13,
,8194,-9.33,
,8195,-9.39,
,8196,-9.45,
,8197,-9.14,
,8199.1,-9.02,
,8201.2,-9.15,
,8203.3,-8.87,
,8205.4,-8.76,
,8207.5,-8.88,
,8209.5,-8.73,
,8211.6,-8.974,
,8213.7,-8.876,
,8215.8,-8.636,
,8217.9,-8.908,
,8220,-9.051,
,8222,-8.841,
,8224.1,-9.071,
,8226.2,-9.196,
,8228.3,-9.048,
,8230.4,-8.873,
,8232.5,-8.804,
,8234.5,-8.634,
,8236.6,-8.801,
,8238.7,-8.836,
,8240.8,-8.726,
,8242.9,-8.951,
,8245,-8.798,
,8247,-9.034,
,8249.1,-8.851,
,8251.2,-8.908,
,8253.3,-8.904,
,8255.4,-8.823,
,8257.5,-8.303,
,8259.5,-8.309,
,8261.6,-8.988,
,8263.7,-8.907,
,8265.8,-8.738,
