GISP2 depth,[Ca2+] GISP2
(m),(ppb)
1217.29,7.97
1217.29,9.41
1219.93,9.41
1219.93,10.4
1222.23,10.4
1222.23,7.73
1224.56,7.73
1224.56,8.47
1226.89,8.47
1226.89,8.78
1229.32,8.78
1229.32,7.34
1231.72,7.34
1231.72,7.26
1234.16,7.26
1234.16,7.01
1236.28,7.01
1236.28,7.92
1238.62,7.92
1238.62,8.06
1241.41,8.06
1241.41,7.59
1243.85,7.59
1243.85,13.23
1246.02,13.23
1246.02,7.59
1248.23,7.59
1248.23,7.69
1250.44,7.69
1250.44,9.52
1252.75,9.52
1252.75,8.04
1255.03,8.04
1255.03,6.27
1257.13,6.27
1257.13,8.74
1259.41,8.74
1259.41,8.01
1262.14,8.01
1262.14,8.02
1264.56,8.02
1264.56,7.79
1267.05,7.79
1267.05,7.07
1269.37,7.07
1269.37,9.06
1271.7,9.06
1271.7,7.88
1274.06,7.88
1274.06,6.21
1276.56,6.21
1276.56,6.75
1278.82,6.75
1278.82,6.6
1281.21,6.6
1281.21,8
1283.68,8
1283.68,7.01
1285.96,7.01
1285.96,6.84
1288.28,6.84
1288.28,6.35
1290.49,6.35
1290.49,6.49
1292.89,6.49
1292.89,8.12
1295.68,8.12
1295.68,7.65
1298.07,7.65
1298.07,8.95
1300.68,8.95
1300.68,7.95
1302.87,7.95
1302.87,8.85
1305.14,8.85
1305.14,8.4
1307.51,8.4
1307.51,8.64
1309.87,8.64
1309.87,8.15
1312.16,8.15
1312.16,7.14
1314.62,7.14
1314.62,7.34
1317.16,7.34
1317.16,7.27
1319.68,7.27
1319.68,9.8
1321.92,9.8
1321.92,8.7
1324.35,8.7
1324.35,7.69
1326.31,7.69
1326.31,6.5
1328.39,6.5
1328.39,8.57
1330.57,8.57
1330.57,7.75
1332.85,7.75
1332.85,7.86
1335.4,7.86
1335.4,10.58
1337.53,10.58
1337.53,6.79
1339.9,6.79
1339.9,7.33
1342.29,7.33
1342.29,6.59
1345.2,6.59
1345.2,6.84
1347.35,6.84
1347.35,8.36
1349.67,8.36
1349.67,7.86
1352.2,7.86
1352.2,9.23
1354.27,9.23
1354.27,7.97
1356.76,7.97
1356.76,7.6
1359.04,7.6
1359.04,8.36
1361.15,8.36
1361.15,8.03
1363.46,8.03
1363.46,6.65
1365.73,6.65
1365.73,8.77
1368.03,8.77
1368.03,7.49
1370.42,7.49
1370.42,9.11
1372.55,9.11
1372.55,5.78
1374.95,5.78
1374.95,6.23
1376.96,6.23
1376.96,7.22
1379.14,7.22
1379.14,6.27
1381.37,6.27
1381.37,7.8
1383.53,7.8
1383.53,8.65
1385.44,8.65
1385.44,8.25
1387.34,8.25
1387.34,9.62
1389.41,9.62
1389.41,9.78
1391.17,9.78
1391.17,12.02
1393.04,12.02
1393.04,9.74
1395.02,9.74
1395.02,9.57
1397.19,9.57
1397.19,7.98
1399.29,7.98
1399.29,8.42
1401.47,8.42
1401.47,7.7
1403.64,7.7
1403.64,8.84
1405.63,8.84
1405.63,7.09
1407.64,7.09
1407.64,7.44
1409.64,7.44
1409.64,9.11
1411.71,9.11
1411.71,8.05
1413.63,8.05
1413.63,7.31
1415.8,7.31
1415.8,9.66
1417.74,9.66
1417.74,5.74
1419.78,5.74
1419.78,8.51
1421.94,8.51
1421.94,7.17
1423.89,7.17
1423.89,8.95
1425.94,8.95
1425.94,7.1
1427.94,7.1
1427.94,7.83
1429.91,7.83
1429.91,7.25
1431.88,7.25
1431.88,6.3
1434.1,6.3
1434.1,5.67
1435.92,5.67
1435.92,7.42
1438,7.42
1438,6.05
1439.94,6.05
1439.94,7.82
1442.08,7.82
1442.08,6.35
1444.12,6.35
1444.12,5.16
1445.9,5.16
1445.9,5.18
1447.84,5.18
1447.84,6.55
1449.88,6.55
1449.88,5.42
1451.82,5.42
1451.82,6.09
1453.76,6.09
1453.76,9.07
1455.62,9.07
1455.62,7.48
1457.41,7.48
1457.41,5.1
1459.36,5.1
1459.36,5.97
1461.33,5.97
1461.33,6.28
1463.25,6.28
1463.25,6.48
1465.27,6.48
1465.27,6.94
1467.21,6.94
1467.21,7.25
1469.11,7.25
1469.11,8.82
1470.98,8.82
1470.98,8.63
1472.76,8.63
1472.76,6.37
1474.55,6.37
1474.55,6.99
1476.31,6.99
1476.31,9.56
1478.21,9.56
1478.21,9.75
1480.11,9.75
1480.11,8.67
1481.99,8.67
1481.99,8.96
1483.99,8.96
1483.99,6.15
1485.83,6.15
1485.83,6.14
1487.66,6.14
1487.66,5.55
1489.55,5.55
1489.55,7.18
1491.37,7.18
1491.37,5.91
1493.16,5.91
1493.16,6.56
1494.92,6.56
1494.92,8.69
1496.52,8.69
