Mean Depth ,Gravity/solubility corrected,mean total air,ice age,gas age,,Ca2+,CH4xs corrected,Bottom Depth,Mean Depth 
1859.45,450.2532874,0.09474,17391.66348,16494.17766,,238.5,442.1349337,1859.5,1150.817467
1859.945,455.8118459,0.0942,17415.15183,16522.69349,,263.66,446.7853262,1860,1153.392663
1859.945,451.3379753,0.09641,17415.15183,16522.69349,,263.66,442.5186805,1860,1151.25934
1860.45,443.4385128,0.09604,17439.1147,16551.7854,,199.86,436.7272744,1860.5,1148.613637
1860.45,450.2142408,0.09626,17439.1147,16551.7854,,199.86,443.51849,1860.5,1152.009245
1860.95,451.7591821,0.09507,17462.84032,16580.58926,,246.92,443.3829714,1861,1152.191486
1860.955,450.5036039,0.07386,17463.07757,16580.8773,,246.92,439.7222237,1861.01,1150.366112
1861.45,452.6182702,0.09527,17486.56593,16609.39313,,289.76,442.809567,1861.5,1152.154783
1861.45,448.0944303,0.09602,17486.56593,16609.39313,,289.76,438.362884,1861.5,1149.931442
1861.85,452.8562109,0.09452,17505.54642,16632.43623,,333.1127273,441.4902078,1861.9,1151.695104
1861.85,452.4725097,0.09399,17505.54642,16632.43623,,333.1127273,441.0429301,1861.9,1151.471465
1862.45,447.1945901,0.09626,17534.01715,16667.00087,,298.55,437.1924552,1862.5,1149.846228
1862.45,449.4338283,0.09565,17534.01715,16667.00087,,298.55,439.3682525,1862.5,1150.934126
1862.95,451.857693,0.09433,17557.74277,16695.80474,,227.13,444.0929481,1863,1153.546474
1862.95,445.9942511,0.09504,17557.74277,16695.80474,,227.13,438.2875696,1863,1150.643785
1863.35,439.3348667,0.09479,17576.72326,16718.84783,,259.22,430.515697,1863.4,1146.957849
1863.35,439.0665644,0.09389,17576.72326,16718.84783,,259.22,430.1631336,1863.4,1146.781567
1863.65,435.4501102,0.09563,17590.95863,16736.13015,,259.22,426.708627,1863.7,1145.204313
1863.65,438.9548945,0.09438,17590.95863,16736.13015,,259.22,430.0979205,1863.7,1146.89896
1864.45,433.832399,0.09577,17628.90593,16781.91859,,236.62,425.8643087,1864.5,1145.182154
1864.54,438.7178941,0.0949,17633.1576,16786.69101,,236.62,430.6768097,1864.59,1147.633405
1864.54,443.3475829,0.09498,17633.1576,16786.69101,,236.62,435.3134453,1864.59,1149.951723
1864.95,435.525972,0.09576,17652.48287,16807.48643,,189.82,429.1332463,1865,1147.066623
1864.95,437.6263519,0.0962,17652.48287,16807.48643,,189.82,431.2632887,1865,1148.131644
1865.45,436.098677,0.09595,17676.03937,16832.60929,,170.43,430.3703205,1865.5,1147.93516
1865.95,435.6784693,0.09576,17699.59587,16857.73214,,198.9963636,428.9766239,1866,1147.488312
1865.95,445.1878438,0.09506,17699.59587,16857.73214,,198.9963636,438.436557,1866,1152.218279
1866.45,435.6144652,0.09549,17723.15237,16882.85499,,177.1818182,429.6307163,1866.5,1148.065358
1866.45,438.9279821,0.09527,17723.15237,16882.85499,,177.1818182,432.9302522,1866.5,1149.715126
1866.95,437.1402986,0.09587,17746.70887,16907.97785,,169.31,431.4451744,1867,1149.222587
1866.95,442.2310557,0.09591,17746.70887,16907.97785,,169.31,436.5379773,1867,1151.768989
1867.43,431.8613676,0.09612,17769.2232,16932.04853,,133.54,427.3809534,1867.48,1147.430477
1867.43,432.3736981,0.09569,17769.2232,16932.04853,,133.54,427.8729423,1867.48,1147.676471
1867.95,437.0985121,0.09589,17792.75141,16957.71723,,156.75,431.8266826,1868,1149.913341
1867.95,434.5483558,0.09618,17792.75141,16957.71723,,156.75,429.2925373,1868,1148.646269
1868.37,428.4149898,0.0957,17811.70628,16978.42661,,152.76,423.2673561,1868.42,1145.843678
1868.37,435.1529503,0.09542,17811.70628,16978.42661,,152.76,429.9903657,1868.42,1149.205183
1868.95,427.7061432,0.09433,17837.88206,17007.02529,,166.0645455,422.0288189,1869,1145.514409
1868.95,430.8933118,0.09505,17837.88206,17007.02529,,166.0645455,425.2587454,1869,1147.129373
1869.35,431.5357027,0.09499,17855.93432,17026.74851,,177.91,425.4954694,1869.4,1147.447735
1869.35,431.5144423,0.09463,17855.93432,17026.74851,,177.91,425.4511652,1869.4,1147.425583
1869.75,427.6287024,0.09661,17873.98658,17046.47174,,210.13,420.6146283,1869.8,1145.207314
1869.75,437.0316775,0.09578,17873.98658,17046.47174,,210.13,429.9565512,1869.8,1149.878276
1870.45,423.3610255,0.09507,17905.57804,17080.98738,,123.4,419.1749671,1870.5,1144.837484
1870.45,424.1506925,0.09511,17905.57804,17080.98738,,123.4,419.9665768,1870.5,1145.233288
1870.95,416.2221844,0.09507,17928.14336,17105.64141,,101.09,412.7931055,1871,1141.896553
1870.95,419.9295328,0.09439,17928.14336,17105.64141,,101.09,416.475561,1871,1143.73778
1871.17,419.8210416,0.09536,17938.07211,17116.48919,,101.09,416.4022938,1871.23,1143.816147
1871.17,420.8596644,0.09527,17938.07211,17116.48919,,101.09,417.4377905,1871.23,1144.333895
1871.925,414.1263479,0.09631,17972.14575,17153.71678,,163.358125,408.6565603,1872,1140.32828
1872.45,422.4218415,0.0946,17995.83934,17179.60351,,157.8672727,417.0400735,1872.5,1144.770037
1872.45,419.3247509,0.09562,17995.83934,17179.60351,,157.8672727,414.000584,1872.5,1143.250292
1872.95,414.0407825,0.0936,18018.45623,17205.10626,,211.4127273,406.7564032,1873,1139.878202
1872.95,416.986253,0.09336,18018.45623,17205.10626,,211.4127273,409.6836616,1873,1141.341831
1873.475,419.6880647,0.09507,18042.69126,17239.90449,,187.434375,413.3296976,1873.55,1143.439849
1873.8875,420.7974969,0.09661,18061.73307,17267.24597,,181.12375,414.7515038,1873.93,1144.338252
1874.5125,420.8185706,0.09634,18090.5843,17308.67244,,229.27,413.1435385,1874.55,1143.846769
1874.925,418.3651981,0.09574,18109.62611,17336.01392,,209.2675,411.3160657,1875,1143.158033
1875.4375,415.312901,0.09714,18133.28411,17369.98363,,184.27,409.1955264,1875.48,1142.335263
1875.8875,419.794958,0.09557,18154.05699,17399.81069,,243.65,411.5731488,1875.93,1143.749074
1876.45,414.2620092,0.09631,18180.0231,17437.09451,,226.09,406.6916388,1876.5,1141.595819
1876.95,408.7675869,0.09681,18203.06487,17469.79977,,184.85,402.6100861,1877,1139.805043
1876.95,408.6997485,0.09657,18203.06487,17469.79977,,184.85,402.5266865,1877,1139.763343
1877.45,412.4118377,0.09788,18225.13987,17491.75542,,160.56,407.1218578,1877.5,1142.310929
1877.45,408.4107447,0.09664,18225.13987,17491.75542,,160.56,403.0526552,1877.5,1140.276328
1877.65,406.6946608,0.096142273,18233.96239,17500.45446,,149.9418182,401.6651376,1877.7,1139.682569
1877.65,410.7556838,0.09547781,18233.96239,17500.45446,,149.9418182,405.6911585,1877.7,1141.695579
1877.95,410.0749729,0.10325,18247.19616,17513.50302,,145.96,405.5159347,1878,1141.757967
1877.95,404.2467887,0.0955,18247.19616,17513.50302,,145.96,399.317746,1878,1138.658873
1878.45,404.9487745,0.09629,18269.25245,17535.25061,,157.62,399.6696789,1878.5,1139.084839
1878.45,402.9189136,0.09649,18269.25245,17535.25061,,157.62,397.6506999,1878.5,1138.07535
1878.65,414.6855343,0.094902695,18278.07496,17543.94965,,143.47,409.8102383,1878.7,1144.255119
1878.65,408.5858691,0.094243583,18278.07496,17543.94965,,143.47,403.6764768,1878.7,1141.188238
1878.95,404.893632,0.09698,18291.30873,17556.99821,,143.47,400.1230056,1879,1139.561503
1878.95,410.4517973,0.09592,18291.30873,17556.99821,,143.47,405.6280201,1879,1142.31401
1879.15,403.3681948,0.095043289,18300.13125,17565.69725,,156.7736364,398.0487047,1879.2,1138.624352
1879.15,406.072076,0.095775632,18300.13125,17565.69725,,156.7736364,400.7932611,1879.2,1139.996631
1879.35,406.1271161,0.09823,18308.95376,17574.39628,,159.73,400.8833284,1879.4,1140.141664
1879.35,404.7259728,0.09722,18308.95376,17574.39628,,159.73,399.4273989,1879.4,1139.413699
1879.64,404.2363435,0.0971,18321.74641,17587.00989,,143.1254545,399.4826791,1879.69,1139.58634
1879.64,401.6903731,0.09634,18321.74641,17587.00989,,143.1254545,396.899218,1879.69,1138.294609
1880.175,400.6950608,0.096210014,18345.34664,17610.27982,,125.3583333,396.4931062,1880.23,1138.361553
