NEEM ion concentration data in 10 yr resolution,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,
,,,,,,
NEEM continuous Methane Concentration Data,,,,,,
"Reference: Chappellaz et al., High resolution glacial and delacial record of atmospheric methane by continuous-flow and laser spectrometer analysis along the NEEM ice core.  EGU Climate of the Past, 2013.",,,,,,
,,,,,,
NEEM Ca2+ (dust),,,,NEEM Methane,,
ageGICC05_mid (yr BP),depth_mid (m),Ca (ng/g),,Age (b2k),Depth (m),RawMethaneMean (ppbv)
53140.0000,1901.1000,26.89,,87640.5051,2111.9465,456.5
53149.9750,1901.1998,34.56,,87640.5051,2111.9465,456.21
53159.9635,1901.2998,46.12,,87667.9514,2112.1463,456.21
53169.9713,1901.4008,33.48,,87667.9514,2112.1463,466.53
53179.9727,1901.5025,40.86,,87695.203,2112.3462,466.53
53189.9873,1901.6045,42.90,,87695.203,2112.3462,487.03
53200.0018,1901.7065,34.67,,87722.4545,2112.546,487.03
53210.0154,1901.8085,65.70,,NaN,NaN,NaN
53220.0127,1901.9115,48.13,,87771.4829,2112.8752,496.69
53230.0145,1902.0165,37.45,,87800.2131,2113.0679,496.69
53240.0127,1902.1223,32.36,,87800.2131,2113.0679,479.08
53249.9873,1902.2278,37.89,,87827.7753,2113.2606,479.08
53259.9855,1902.3335,48.39,,87827.7753,2113.2606,470.11
53270.0145,1902.4400,43.91,,87855.104,2113.4533,470.11
53280.0173,1902.5473,48.05,,87855.104,2113.4533,466.39
53289.9859,1902.6548,40.58,,87882.4327,2113.646,466.39
53299.9773,1902.7625,42.50,,NaN,NaN,NaN
53309.9918,1902.8705,55.72,,87939.2615,2114.0682,463.85
53320.0204,1902.9790,45.88,,87954.9522,2114.1848,463.85
53330.0208,1903.0883,39.11,,NaN,NaN,NaN
53340.0000,1903.1980,52.01,,87964.0076,2114.2551,456.78
53350.0227,1903.3083,38.30,,87994.8038,2114.497,456.78
53360.0227,1903.4183,53.98,,87994.8038,2114.497,471.87
53369.9761,1903.5268,37.82,,88025.6,2114.739,471.87
53379.9806,1903.6328,38.49,,NaN,NaN,NaN
53389.9959,1903.7368,40.37,,88075.4123,2115.1416,483.79
53399.9936,1903.8405,38.44,,88097.1513,2115.3179,483.79
53410.0155,1903.9445,31.96,,88097.1513,2115.3179,484.53
53419.9981,1904.0478,41.93,,88118.3142,2115.4943,484.53
53429.9994,1904.1488,50.60,,88118.3142,2115.4943,480.6
53440.0182,1904.2475,39.01,,88139.4771,2115.6706,480.6
53449.9964,1904.3455,35.73,,88139.4771,2115.6706,480.94
53459.9745,1904.4435,35.72,,88160.64,2115.847,480.94
53469.9782,1904.5418,39.72,,NaN,NaN,NaN
53480.0396,1904.6430,39.34,,88197.8605,2116.1668,470.52
53490.0659,1904.7498,39.17,,88220.4127,2116.3606,470.52
53500.0455,1904.8595,43.04,,88220.4127,2116.3606,469.31
53510.0455,1904.9695,39.76,,88240.4385,2116.5544,469.31
53520.0455,1905.0795,41.37,,88240.4385,2116.5544,476.76
53530.0400,1905.1890,37.53,,88259.8192,2116.7482,476.76
53540.0182,1905.2973,41.80,,88259.8192,2116.7482,475.08
53549.9859,1905.4048,36.34,,88279.2,2116.942,475.08
53559.9773,1905.5125,44.53,,NaN,NaN,NaN
53569.9918,1905.6205,54.96,,88323.0653,2117.4144,484.17
53579.9906,1905.7280,39.60,,88342.4986,2117.6216,484.17
53589.9911,1905.8345,39.87,,88342.4986,2117.6216,481.88
53600.0109,1905.9405,47.94,,88362.0875,2117.8288,481.88
53610.0091,1906.0463,49.07,,88362.0875,2117.8288,485.73
53619.9836,1906.1518,46.03,,88381.6764,2118.036,485.73
53629.9818,1906.2575,36.54,,NaN,NaN,NaN
53640.0036,1906.3635,46.95,,88429.2436,2118.4739,482.2
53650.0018,1906.4693,43.91,,88452.9744,2118.6899,482.2
53659.9764,1906.5748,39.85,,88452.9744,2118.6899,477.7
53669.9745,1906.6805,49.30,,88476.9345,2118.906,477.7
53680.0039,1906.7868,44.84,,88476.9345,2118.906,479.19
53690.0112,1906.8945,47.25,,88500.8945,2119.122,479.19
53700.0227,1907.0043,42.24,,NaN,NaN,NaN
53710.0455,1907.1145,52.41,,88541.0488,2119.4954,475.33
53720.0455,1907.2245,44.69,,88546.7278,2119.5483,475.33
53730.0306,1907.3343,48.40,,NaN,NaN,NaN
53740.0052,1907.4430,41.96,,88562.5216,2119.6955,468.91
53749.9786,1907.5508,38.02,,88580.436,2119.8744,468.91
53759.9700,1907.6585,42.29,,88580.436,2119.8744,474.9
53769.9845,1907.7665,48.07,,88598.318,2120.0532,474.9
53780.0176,1907.8748,47.55,,88598.318,2120.0532,471.71
53790.0217,1907.9835,45.83,,88616.2,2120.232,471.71
53800.0000,1908.0930,36.77,,NaN,NaN,NaN
53810.0000,1908.2030,34.01,,88653.402,2120.604,475.56
53820.0000,1908.3130,37.79,,88671.9765,2120.7898,475.56
53829.9898,1908.4228,37.55,,88671.9765,2120.7898,462.94
53839.9889,1908.5303,41.00,,88693.423,2120.9755,462.94
53849.9850,1908.6348,31.89,,88693.423,2120.9755,460.73
53859.9827,1908.7385,39.40,,88715.0369,2121.1613,460.73
53870.0045,1908.8425,43.64,,88715.0369,2121.1613,446.36
53880.0264,1908.9465,48.68,,88736.6509,2121.347,446.36
53890.0418,1909.0470,49.24,,NaN,NaN,NaN
53900.0373,1909.1405,NaN,,88777.5406,2121.6732,449.7
53910.0191,1909.2305,NaN,,88801.8114,2121.8666,449.7
53920.0009,1909.3205,75.26,,88801.8114,2121.8666,438.82
53929.9827,1909.4105,75.07,,88826.9553,2122.0601,438.82
53939.9645,1909.5005,94.99,,88826.9553,2122.0601,441.26
53949.9865,1909.5925,82.37,,88852.2813,2122.2535,441.26
53960.0088,1909.6885,88.39,,88852.2813,2122.2535,450.36
53969.9891,1909.7865,109.72,,88877.6073,2122.447,450.36
53979.9927,1909.8848,70.86,,NaN,NaN,NaN
53990.0218,1909.9833,53.66,,88915.6527,2122.7686,470.48
54000.0781,1910.0823,51.26,,88938.4736,2122.9617,470.48
54010.0703,1910.1843,67.95,,88938.4736,2122.9617,466.82
54020.0282,1910.2905,49.90,,88959.8873,2123.1548,466.82
54030.0195,1910.3983,43.37,,88959.8873,2123.1548,464.72
54039.9877,1910.5058,44.80,,88980.9527,2123.3479,464.72
54049.9613,1910.6133,45.72,,88980.9527,2123.3479,457.49
54059.9854,1910.7193,54.86,,89002.0182,2123.541,457.49
54070.0273,1910.8225,44.37,,NaN,NaN,NaN
54080.0173,1910.9243,50.36,,89036.8062,2123.8762,465.22
54089.9827,1911.0258,45.83,,89056.7251,2124.0684,465.22
54099.9727,1911.1275,42.28,,89056.7251,2124.0684,466.27
54110.0504,1911.2335,48.95,,89074.892,2124.2606,466.27
54120.0445,1911.3485,48.57,,89074.892,2124.2606,460.88
54129.9795,1911.4698,45.09,,89092.7142,2124.4528,460.88
54140.0023,1911.5923,42.70,,89092.7142,2124.4528,466.58
54149.8328,1911.7118,49.14,,89110.5364,2124.645,466.58
54159.8146,1911.8188,59.82,,NaN,NaN,NaN
54169.9705,1911.9098,87.00,,89144.2075,2125.0081,457
54179.9864,1911.9945,157.86,,89161.3361,2125.1928,457
54190.0023,1912.0793,242.21,,89161.3361,2125.1928,458.49
54199.9886,1912.1638,202.43,,89180.0788,2125.3776,458.49
54210.0045,1912.2485,231.67,,89180.0788,2125.3776,463.25
54219.9746,1912.3313,229.66,,89198.8867,2125.5623,463.25
54229.9528,1912.4090,279.25,,89198.8867,2125.5623,450.61
54239.9955,1912.4838,247.69,,89217.6945,2125.747,450.61
54250.0191,1912.5583,282.05,,NaN,NaN,NaN
54260.0091,1912.6325,253.88,,89250.7599,2126.0315,464.93
54269.9991,1912.7068,271.43,,89274.0753,2126.2319,464.93
54280.0227,1912.7813,237.98,,89274.0753,2126.2319,465
54289.9993,1912.8553,292.83,,89296.6694,2126.4323,465
54299.9848,1912.9278,234.10,,89296.6694,2126.4323,460.81
54310.0045,1912.9988,268.20,,89318.892,2126.6326,460.81
54320.0027,1913.0693,265.95,,89318.892,2126.6326,446.76
54330.0009,1913.1398,259.40,,89341.1145,2126.833,446.76
54339.9991,1913.2103,271.66,,NaN,NaN,NaN
54349.9973,1913.2808,238.38,,89379.2045,2127.1875,454.2
54359.9955,1913.3513,313.50,,89399.573,2127.3774,454.2
54369.9498,1913.4210,233.73,,89399.573,2127.3774,443.22
54379.9507,1913.4888,284.10,,89420.5495,2127.5673,443.22
54389.9982,1913.5548,315.58,,89420.5495,2127.5673,437.02
54400.0018,1913.6203,275.36,,89441.6084,2127.7571,437.02
54410.0055,1913.6858,262.35,,89441.6084,2127.7571,434.56
54420.0091,1913.7513,326.30,,89462.6673,2127.947,434.56
54430.0127,1913.8168,247.64,,NaN,NaN,NaN
54440.0164,1913.8823,285.40,,89517.7318,2128.2882,460.11
54449.9829,1913.9475,349.08,,89548.4679,2128.4782,460.11
54459.9511,1914.0125,282.90,,89548.4679,2128.4782,447.61
54469.9773,1914.0775,321.08,,89580.4267,2128.6681,447.61
54480.0227,1914.1425,250.59,,89580.4267,2128.6681,447.14
54490.0295,1914.2073,256.01,,89612.5443,2128.8581,447.14
54499.9977,1914.2718,290.06,,89612.5443,2128.8581,449.7
54510.0045,1914.3365,312.19,,89644.6618,2129.048,449.7
54520.0114,1914.4013,344.43,,NaN,NaN,NaN
54529.9795,1914.4658,269.70,,89684.0698,2129.3485,456.17
54539.9719,1914.5305,278.05,,89710.0405,2129.5468,456.17
54549.9846,1914.5958,264.19,,89710.0405,2129.5468,437.24
54559.9909,1914.6613,258.73,,89735.7472,2129.7452,437.24
54569.9945,1914.7268,258.58,,89735.7472,2129.7452,439.66
54579.9982,1914.7923,330.94,,89761.3573,2129.9436,439.66
54590.0018,1914.8578,251.94,,89761.3573,2129.9436,445.92
54600.0055,1914.9233,241.67,,89786.9673,2130.142,445.92
54610.0091,1914.9888,215.64,,NaN,NaN,NaN
54619.9867,1915.0540,317.33,,89848.1613,2130.6033,413.52
54629.9862,1915.1180,319.27,,89877.4985,2130.8178,413.52
54640.0264,1915.1805,268.59,,89877.4985,2130.8178,409.08
54650.0186,1915.2423,273.18,,89907.5393,2131.0324,409.08
54659.9705,1915.3038,248.88,,89907.5393,2131.0324,412.65
54669.9627,1915.3655,230.10,,89937.58,2131.247,412.65
54679.9955,1915.4275,235.55,,NaN,NaN,NaN
54690.0282,1915.4895,268.21,,90004.9418,2131.699,411.79
54700.0205,1915.5513,346.86,,90038.2855,2131.913,411.79
54710.0614,1915.6138,362.83,,90038.2855,2131.913,410.31
54720.0541,1915.6803,265.28,,90072.9145,2132.127,410.31
54729.9909,1915.7513,194.73,,90072.9145,2132.127,410.94
54740.0091,1915.8238,231.63,,90107.5436,2132.341,410.94
54750.0273,1915.8963,215.36,,NaN,NaN,NaN
54760.0109,1915.9685,171.40,,90176.7672,2132.7465,387.7
54769.9945,1916.0408,195.15,,90206.7797,2132.9219,387.7
54780.0127,1916.1133,217.01,,90206.7797,2132.9219,392.16
54790.0307,1916.1868,336.24,,90237.0713,2133.0973,392.16
54800.0107,1916.2630,205.94,,90237.0713,2133.0973,400.75
54809.9773,1916.3413,180.43,,90267.3629,2133.2726,400.75
54819.9682,1916.4198,176.33,,90267.3629,2133.2726,404.63
54829.9909,1916.4985,169.03,,90297.6545,2133.448,404.63
54840.0136,1916.5773,150.75,,NaN,NaN,NaN
54850.0045,1916.6558,150.22,,90366.5773,2133.8513,401.29
54860.0689,1916.7373,91.19,,90406.0064,2134.0828,401.29
54870.0589,1916.8253,49.62,,90406.0064,2134.0828,396.12
54879.9950,1916.9178,48.94,,90445.165,2134.3144,396.12
54890.0250,1917.0113,46.34,,90445.165,2134.3144,394.67
54900.0282,1917.1045,44.50,,90484.3236,2134.546,394.67
54910.0045,1917.1975,50.90,,NaN,NaN,NaN
54919.9498,1917.2883,46.50,,90995.32,2137.827,449.84
54929.9434,1917.3745,56.49,,90995.64,2137.829,449.84
54939.9900,1917.4583,68.59,,NaN,NaN,NaN
54949.9800,1917.5415,72.73,,91042.9664,2138.1248,446.96
54959.9700,1917.6248,98.98,,91073.7348,2138.3171,446.96
54969.9900,1917.7083,160.88,,91073.7348,2138.3171,443.02
54979.7960,1917.7895,179.09,,91104.5032,2138.5094,443.02
54989.7960,1917.8615,166.93,,91104.5032,2138.5094,441.89
55000.0000,1917.9215,244.43,,91135.2716,2138.7017,441.89
55010.0000,1917.9765,205.26,,91135.2716,2138.7017,438.39
55020.0000,1918.0315,159.18,,91166.04,2138.894,438.39
55030.0000,1918.0865,175.32,,NaN,NaN,NaN
55040.0000,1918.1415,215.68,,91227.2736,2139.2767,438.67
55050.0000,1918.1965,180.55,,91257.2852,2139.4643,438.67
55060.0000,1918.2515,193.15,,91257.2852,2139.4643,438.83
55070.0000,1918.3065,271.97,,91286.7446,2139.6519,438.83
55080.0045,1918.3615,252.51,,91286.7446,2139.6519,437.95
55090.0381,1918.4163,216.28,,91316.0741,2139.8394,437.95
55100.0745,1918.4705,257.37,,91316.0741,2139.8394,436.07
55110.0427,1918.5243,246.64,,91345.4036,2140.027,436.07
55119.9645,1918.5778,311.62,,NaN,NaN,NaN
55129.9327,1918.6315,248.64,,91397.2364,2140.3384,436.7
55139.9473,1918.6855,224.88,,91424.2384,2140.4998,436.7
55149.9618,1918.7395,204.89,,91424.2384,2140.4998,431.94
55159.9764,1918.7935,368.95,,91451.0178,2140.6612,431.94
55169.9909,1918.8475,267.58,,NaN,NaN,NaN
55180.0042,1918.9015,266.38,,91462.9584,2140.7342,430.94
55190.0033,1918.9563,306.45,,91495.9155,2140.9356,430.94
55200.0227,1919.0125,247.47,,91495.9155,2140.9356,429.41
55210.0314,1919.0693,237.11,,91528.8727,2141.137,429.41
55219.9959,1919.1258,219.54,,NaN,NaN,NaN
55230.0045,1919.1825,531.74,,91572.1758,2141.4016,439.8
55240.0132,1919.2393,284.18,,91606.7591,2141.613,439.8
55249.9777,1919.2958,269.16,,91606.7591,2141.613,440.08
55259.9864,1919.3525,310.14,,91640.8904,2141.8243,440.08
55269.9950,1919.4093,236.80,,91640.8904,2141.8243,437.18
55280.0200,1919.4663,342.53,,91674.7052,2142.0357,437.18
55290.0400,1919.5248,235.18,,91674.7052,2142.0357,443.7
55300.0223,1919.5848,246.53,,91708.52,2142.247,443.7
55310.0323,1919.6453,229.85,,NaN,NaN,NaN
55320.0009,1919.7055,200.01,,91762.074,2142.5673,445.71
55329.9695,1919.7658,358.61,,91804.7072,2142.821,445.71
55339.9795,1919.8263,586.74,,NaN,NaN,NaN
55349.9895,1919.8868,255.21,,91827.1265,2142.9481,458.04
55359.9995,1919.9473,182.16,,91861.5051,2143.1431,458.04
55370.1818,1920.0095,160.67,,91861.5051,2143.1431,454.87
55380.1650,1920.0800,102.68,,91895.8836,2143.338,454.87
55389.9745,1920.1615,50.77,,NaN,NaN,NaN
55399.9818,1920.2475,56.09,,91969.0505,2143.7571,444.29
55409.9891,1920.3335,35.81,,92007.5796,2143.9778,444.29
55419.9964,1920.4195,44.18,,92007.5796,2143.9778,445.78
55430.0036,1920.5055,52.71,,92046.1088,2144.1985,445.78
55440.0078,1920.5918,48.42,,NaN,NaN,NaN
55449.9914,1920.6785,50.50,,92071.4458,2144.3437,445.77
55459.9859,1920.7658,54.14,,92086.8582,2144.432,445.77
55470.0086,1920.8533,69.95,,NaN,NaN,NaN
55480.0027,1920.9405,68.56,,92140.6199,2144.737,441.74
55489.9968,1921.0278,77.67,,92176.3767,2144.9398,441.74
55500.0049,1921.1150,88.95,,92176.3767,2144.9398,437.18
55509.9990,1921.2015,71.78,,92212.3927,2145.1425,437.18
55520.0000,1921.2875,58.76,,92212.3927,2145.1425,431.98
55530.0073,1921.3735,73.89,,92248.5182,2145.3453,431.98
55540.0145,1921.4595,63.75,,92248.5182,2145.3453,429.64
55550.0218,1921.5455,60.63,,92284.6436,2145.548,429.64
55560.0971,1921.6323,53.61,,NaN,NaN,NaN
55570.1093,1921.7233,73.71,,92333.1437,2145.823,436.66
55580.0250,1921.8203,60.02,,92335.6411,2145.8371,436.66
55590.0000,1921.9200,53.44,,NaN,NaN,NaN
55600.0250,1922.0203,57.01,,92346.7855,2145.9003,438.34
55610.0500,1922.1205,65.81,,92379.7509,2146.0872,438.34
55620.0218,1922.2200,64.63,,92379.7509,2146.0872,440.12
55629.9786,1922.3185,38.29,,92411.4497,2146.2742,440.12
55639.9782,1922.4168,35.19,,92411.4497,2146.2742,438.66
55650.0073,1922.5153,33.24,,92443.0558,2146.4611,438.66
55660.0109,1922.6135,36.42,,92443.0558,2146.4611,436.6
55669.9427,1922.7110,49.58,,92474.6618,2146.648,436.6
55679.9291,1922.8023,47.38,,NaN,NaN,NaN
55689.9832,1922.8828,50.54,,92579.488,2147.2416,436.46
55700.0041,1922.9583,51.50,,92624.344,2147.4908,436.46
55709.9918,1923.0335,58.11,,92624.344,2147.4908,435.73
55719.9795,1923.1088,65.65,,92669.2,2147.74,435.73
55730.0005,1923.1843,86.27,,NaN,NaN,NaN
55739.9882,1923.2595,97.04,,92757.1064,2148.2333,437.13
55749.8850,1923.3320,128.54,,92793.69,2148.4372,437.13
55759.9155,1923.3988,101.53,,92793.69,2148.4372,437.08
55770.0427,1923.4615,109.24,,92830.395,2148.6411,437.08
55780.0350,1923.5233,183.96,,92830.395,2148.6411,439.08
55789.9868,1923.5848,147.37,,92867.1,2148.845,439.08
55799.9791,1923.6465,151.81,,NaN,NaN,NaN
55810.0118,1923.7085,169.26,,92933.7182,2149.2114,438.95
55820.0445,1923.7705,210.13,,92967.1523,2149.3953,438.95
55830.0368,1923.8323,212.77,,92967.1523,2149.3953,438.39
55839.9723,1923.8928,337.86,,93002.2157,2149.5792,438.39
55849.9478,1923.9513,476.80,,93002.2157,2149.5792,439.94
55859.9818,1924.0088,326.09,,93037.3215,2149.7631,439.94
55870.0182,1924.0663,316.32,,93037.3215,2149.7631,439.85
55880.0109,1924.1235,240.06,,93072.4273,2149.947,439.85
55890.0036,1924.1808,219.82,,NaN,NaN,NaN
55900.0400,1924.2383,276.34,,93135.8122,2150.2822,436.82
55910.0327,1924.2955,230.95,,93164.3196,2150.4329,436.82
55919.9818,1924.3525,180.70,,NaN,NaN,NaN
55929.9650,1924.4098,242.61,,93197.8566,2150.6159,435.22
55939.9595,1924.4680,344.46,,93235.8483,2150.8269,435.22
55949.9636,1924.5275,298.97,,93235.8483,2150.8269,435.07
55960.0000,1924.5875,267.92,,93273.84,2151.038,435.07
55970.0364,1924.6475,306.16,,NaN,NaN,NaN
55980.0309,1924.7073,249.94,,93347.6631,2151.4606,430.86
55989.9836,1924.7668,266.59,,93387.7477,2151.6884,430.86
55999.9782,1924.8265,257.67,,93387.7477,2151.6884,431.13
56010.0145,1924.8865,295.79,,93428.3393,2151.9162,431.13
56020.0093,1924.9463,372.22,,93428.3393,2151.9162,429.6
56029.9943,1925.0058,318.12,,93468.9309,2152.144,429.6
56040.0332,1925.0653,313.65,,NaN,NaN,NaN
56050.0518,1925.1245,229.19,,93542.9628,2152.5769,436.01
56060.0282,1925.1835,314.75,,93580.2712,2152.7973,436.01
56070.0045,1925.2425,257.75,,93580.2712,2152.7973,439.67
56079.9809,1925.3015,256.81,,93617.132,2153.0176,439.67
56089.9573,1925.3605,301.69,,93617.132,2153.0176,436.92
56099.9759,1925.4198,296.61,,93653.9927,2153.238,436.92
56110.0368,1925.4793,314.45,,NaN,NaN,NaN
56120.0381,1925.5385,245.08,,93728.7959,2153.6628,444.7
56129.9863,1925.5978,275.29,,93769.2912,2153.8905,444.7
56139.9818,1925.6575,308.65,,93769.2912,2153.8905,442.11
56150.0182,1925.7175,278.26,,93810.2856,2154.1183,442.11
56160.0127,1925.7773,295.20,,93810.2856,2154.1183,439.61
56169.9655,1925.8368,382.10,,93851.28,2154.346,439.61
56179.9600,1925.8965,331.36,,NaN,NaN,NaN
56189.9964,1925.9565,223.48,,93937.2385,2154.8142,437.74
56200.0327,1926.0165,241.52,,93975.5804,2155.0254,437.74
56210.0590,1926.0765,320.19,,93975.5804,2155.0254,435.86
56220.0349,1926.1365,285.15,,94013.6102,2155.2367,435.86
56230.0077,1926.1968,246.81,,94013.6102,2155.2367,428.8
56240.0177,1926.2573,296.12,,94051.64,2155.448,428.8
56250.0277,1926.3178,353.80,,NaN,NaN,NaN
56260.0377,1926.3783,269.90,,94093.1805,2155.7367,431.68
56270.0064,1926.4385,286.98,,94117.5542,2155.9064,431.68
56279.9750,1926.4988,320.45,,94117.5542,2155.9064,433.93
56289.9850,1926.5593,321.04,,94141.7895,2156.0761,433.93
56300.0244,1926.6203,307.06,,94141.7895,2156.0761,433.61
56310.0312,1926.6833,295.25,,94165.8547,2156.2458,433.61
56320.0055,1926.7483,227.38,,NaN,NaN,NaN
56330.0091,1926.8138,280.73,,94194.804,2156.4499,431.32
56340.0127,1926.8793,333.42,,94206.8727,2156.535,431.32
56350.0164,1926.9448,394.49,,NaN,NaN,NaN
56360.0200,1927.0103,265.64,,94263.8886,2156.9472,431.19
56370.0236,1927.0758,247.59,,94295.8836,2157.1798,431.19
56380.0631,1927.1415,219.32,,94295.8836,2157.1798,435.25
56390.0640,1927.2085,196.11,,94327.6009,2157.4124,435.25
56400.0264,1927.2778,207.67,,94327.6009,2157.4124,440.9
56410.0245,1927.3483,352.22,,94359.3182,2157.645,440.9
56420.0227,1927.4188,268.03,,NaN,NaN,NaN
56430.0209,1927.4893,262.91,,94420.8686,2158.0964,437.18
56440.0191,1927.5598,321.67,,94450.5336,2158.3139,437.18
56450.0173,1927.6303,227.51,,94450.5336,2158.3139,431.2
56460.0381,1927.7010,169.10,,94480.1986,2158.5315,431.2
56470.0327,1927.7730,146.78,,94480.1986,2158.5315,438.87
56479.9836,1927.8465,75.60,,94509.8636,2158.749,438.87
56489.9736,1927.9208,90.65,,NaN,NaN,NaN
56499.9973,1927.9953,65.59,,94563.681,2159.1285,436.24
56509.9873,1928.0695,78.85,,94588.8246,2159.3059,436.24
56519.9773,1928.1438,99.35,,94588.8246,2159.3059,435.88
56530.0009,1928.2183,75.39,,94613.6564,2159.4833,435.88
56540.0063,1928.2933,69.41,,94613.6564,2159.4833,422.86
56550.0031,1928.3698,79.79,,94638.4882,2159.6606,422.86
56560.0086,1928.4473,73.07,,94638.4882,2159.6606,431.65
56570.0132,1928.5248,82.35,,94663.32,2159.838,431.65
56580.0177,1928.6023,78.89,,NaN,NaN,NaN
56590.0223,1928.6798,73.78,,94711.5892,2160.1828,438.64
56600.0268,1928.7573,79.73,,94738.2669,2160.3733,438.64
56610.0473,1928.8363,77.41,,94738.2669,2160.3733,440.96
56620.0200,1928.9190,60.28,,94764.9446,2160.5639,440.96
56629.9782,1929.0045,72.56,,94764.9446,2160.5639,435.53
56639.9855,1929.0905,65.73,,94791.6223,2160.7544,435.53
56649.9927,1929.1765,64.92,,94791.6223,2160.7544,437.89
56660.0000,1929.2625,57.26,,94818.3,2160.945,437.89
56670.0379,1929.3490,65.10,,NaN,NaN,NaN
56680.0361,1929.4375,69.28,,94874.4877,2161.3569,442.85
56690.0182,1929.5285,55.39,,94905.6525,2161.5866,442.85
56700.0273,1929.6203,63.45,,94905.6525,2161.5866,437.39
56710.0091,1929.7118,57.03,,94936.5572,2161.8163,437.39
56720.0182,1929.8035,82.47,,94936.5572,2161.8163,438.71
56729.9183,1929.8938,69.18,,94967.4618,2162.046,438.71
56739.8861,1929.9788,63.56,,NaN,NaN,NaN
56749.9741,1930.0583,80.82,,95024.7115,2162.4127,444.06
56759.9786,1930.1358,81.15,,95035.5991,2162.4823,444.06
56769.9832,1930.2133,70.15,,NaN,NaN,NaN
56779.9877,1930.2908,82.02,,95056.5128,2162.6161,442.31
56789.9923,1930.3683,84.19,,95094.7382,2162.8605,442.31
56800.0187,1930.4460,82.48,,95094.7382,2162.8605,440.28
56810.0396,1930.5250,86.29,,95132.9636,2163.105,440.28
56820.0436,1930.6055,74.40,,NaN,NaN,NaN
56830.0273,1930.6863,73.55,,95199.6186,2163.5404,437.08
56839.9800,1930.7668,87.51,,95241.5804,2163.8151,437.08
56849.9636,1930.8475,77.18,,NaN,NaN,NaN
56859.9782,1930.9285,76.37,,95261.3769,2163.9447,440.03
56869.9795,1931.0093,79.07,,95305.7091,2164.235,440.03
56879.9823,1931.0890,80.18,,NaN,NaN,NaN
56889.9864,1931.1678,68.89,,95369.5074,2164.6388,436.36
56899.9773,1931.2463,67.86,,95397.4928,2164.8161,436.36
56909.9682,1931.3248,95.75,,95397.4928,2164.8161,436.05
56919.9909,1931.4035,57.34,,95424.8922,2164.9934,436.05
56930.0136,1931.4823,68.13,,95424.8922,2164.9934,430.96
56939.9814,1931.5605,82.45,,95452.2915,2165.1707,430.96
56949.9791,1931.6385,61.18,,95452.2915,2165.1707,438.34
56960.0068,1931.7163,76.27,,95479.6909,2165.348,438.34
56970.0114,1931.7938,72.12,,NaN,NaN,NaN
56980.0159,1931.8713,67.11,,95541.8213,2165.75,434.86
56990.0205,1931.9488,78.64,,95578.404,2165.981,434.86
57000.0250,1932.0263,81.21,,95578.404,2165.981,437.3
57010.0729,1932.1045,93.78,,95616.6229,2166.212,437.3
57020.0552,1932.1863,91.70,,95616.6229,2166.212,450.64
57030.0032,1932.2723,60.53,,95654.8418,2166.443,450.64
57039.9973,1932.3595,52.87,,NaN,NaN,NaN
57049.9914,1932.4468,73.47,,95833.3908,2166.8652,454.06
57060.0141,1932.5343,61.87,,95935.0179,2167.1039,454.06
57069.9822,1932.6213,58.58,,95935.0179,2167.1039,457.63
57079.9804,1932.7053,50.46,,96036.1548,2167.3426,457.63
57090.0291,1932.7843,51.36,,NaN,NaN,NaN
57100.0109,1932.8605,58.49,,96088.0968,2167.4653,471.81
57109.9927,1932.9368,79.09,,96121.0345,2167.543,471.81
57120.0073,1933.0133,100.04,,NaN,NaN,NaN
57129.9891,1933.0895,85.92,,96263.1825,2167.869,479.72
57139.9709,1933.1658,61.59,,96347.9505,2168.0632,479.72
57149.9930,1933.2428,69.52,,96347.9505,2168.0632,481.1
57160.0039,1933.3208,60.88,,96431.0006,2168.2575,481.1
57169.9955,1933.3993,64.92,,96431.0006,2168.2575,480.26
57179.9864,1933.4778,54.91,,96513.6494,2168.4517,480.26
57190.0091,1933.5565,85.76,,96513.6494,2168.4517,477.07
57200.0318,1933.6353,51.65,,96596.2982,2168.646,477.07
57210.0227,1933.7138,52.73,,NaN,NaN,NaN
57220.0061,1933.7918,52.13,,96748.1916,2169.0238,474.42
57230.0007,1933.8688,59.50,,96835.8967,2169.2436,474.42
57240.0145,1933.9453,61.65,,96835.8967,2169.2436,474.12
57249.9964,1934.0215,55.49,,96921.0386,2169.4635,474.12
57259.9782,1934.0978,73.66,,NaN,NaN,NaN
57269.9927,1934.1743,69.35,,97010.9943,2169.6958,486.96
57280.0073,1934.2508,60.66,,97031.2255,2169.748,486.96
57290.0370,1934.3275,66.33,,NaN,NaN,NaN
57300.0325,1934.4045,60.76,,97154.4628,2170.0378,492.26
57310.0077,1934.4818,58.43,,97240.3153,2170.2396,492.26
57320.0123,1934.5593,60.96,,97240.3153,2170.2396,494.01
57330.0168,1934.6368,70.59,,97327.9677,2170.4414,494.01
57340.0214,1934.7143,61.17,,97327.9677,2170.4414,494.53
57350.0259,1934.7918,55.86,,97416.3884,2170.6432,494.53
57360.0364,1934.8695,52.27,,97416.3884,2170.6432,495.91
