depth_m,age_ice_calBP,age_gas_calBP
221.444,831,639.3
221.74,832,640.3
222.002,833,641.3
222.232,834,642.3
222.484,835,643.3
222.713,836,644.3
222.888,837,645.3
223.042,838,646.3
223.228,839,647.3
223.479,840,648.3
223.654,841,649.3
223.917,842,650.2
224.147,843,651.2
224.355,844,652.2
224.584,845,653.2
224.847,846,654.2
225.055,847,655.1
225.274,848,656.1
225.449,849,657.1
225.7,850,658
225.908,851,659
226.193,852,660
226.444,853,660.9
226.718,854,661.9
226.937,855,662.9
227.145,856,663.9
227.33,857,664.9
227.538,858,665.9
227.703,859,666.9
227.878,860,667.9
228.086,861,668.9
228.326,862,669.9
228.523,863,670.9
228.786,864,671.9
229.048,865,672.9
229.322,866,673.9
229.584,867,674.9
229.759,868,675.9
229.946,869,676.9
230.142,870,677.9
230.438,871,678.9
230.646,872,679.9
230.832,873,681
231.094,874,682
231.444,875,683
231.652,876,684
231.827,877,685.1
232.145,878,686.1
232.342,879,687.1
232.626,880,688.2
232.878,881,689.2
233.118,882,690.3
233.304,883,691.3
233.512,884,692.4
233.753,885,693.4
233.939,886,694.5
234.201,887,695.5
234.475,888,696.6
234.803,889,697.7
235.044,890,698.8
235.274,891,699.8
235.525,892,700.9
235.744,893,702
236.028,894,703
236.248,895,704.1
236.565,896,705.2
236.773,897,706.3
237.057,898,707.4
237.276,899,708.4
237.582,900,709.5
237.801,901,710.6
238.042,902,711.7
238.239,903,712.8
238.425,904,713.8
238.665,905,714.9
238.928,906,716
239.256,907,717
239.573,908,718.1
239.847,909,719.2
240.077,910,720.2
240.285,911,721.3
240.514,912,722.3
240.821,913,723.4
241.094,914,724.5
241.291,915,725.5
241.521,916,726.6
241.74,917,727.6
241.991,918,728.6
242.199,919,729.7
242.429,920,730.7
242.703,921,731.8
242.943,922,732.8
243.162,923,733.9
243.392,924,734.9
243.654,925,735.9
243.862,926,737
244.081,927,738
244.355,928,739.1
244.584,929,740.1
244.77,930,741.2
